id,precinct,office,candidate,party,votes
5667,Richland 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5668,Richland 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5669,Richland 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5670,Richland 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5671,Richland 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5672,Richland 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5673,Richland 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5674,Richland 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5675,Richland 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5676,Richland 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5677,Richland 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5678,Richland 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5679,Richland 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,2
5680,Richland 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5681,Richland 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5682,Richland 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5683,Richland 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5684,Richland 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5685,Richland 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5686,Richland 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5687,Richland 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5688,Richland 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5689,Richland 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5690,Richland 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5691,Richland 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5692,Richland 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5693,Richland 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5694,Richland 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5695,Richland 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5696,Sandy Creek 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5697,Sandy Creek 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,4
5698,Sandy Creek 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,4
5699,Sandy Creek 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5700,Sandy Creek 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5701,Sandy Creek 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,2
5702,Sandy Creek 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5703,Sandy Creek 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5704,Sandy Creek 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5705,Sandy Creek 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5706,Sandy Creek 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5707,Sandy Creek 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5708,Sandy Creek 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5709,Sandy Creek 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5710,Sandy Creek 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,1
5711,Sandy Creek 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5712,Sandy Creek 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5713,Sandy Creek 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,4
5714,Sandy Creek 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5715,Sandy Creek 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,2
5716,Sandy Creek 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5717,Sandy Creek 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,3
5718,Sandy Creek 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5719,Sandy Creek 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5720,Schroeppel 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5721,Schroeppel 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5722,Schroeppel 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5723,Schroeppel 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5724,Schroeppel 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5725,Schroeppel 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5726,Schroeppel 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5727,Schroeppel 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5728,Schroeppel 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5729,Schroeppel 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5730,Schroeppel 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5731,Schroeppel 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5732,Schroeppel 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5733,Schroeppel 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5734,Schroeppel 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5735,Schroeppel 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5736,Schroeppel 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5737,Schroeppel 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5738,Schroeppel 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5739,Schroeppel 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5740,Schroeppel 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5741,Schroeppel 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5742,Schroeppel 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5743,Schroeppel 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5744,Schroeppel 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5745,Schroeppel 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5746,Schroeppel 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5747,Schroeppel 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,2
5748,Schroeppel 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5749,Schroeppel 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5750,Schroeppel 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5751,Schroeppel 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5752,Schroeppel 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5753,Schroeppel 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5754,Schroeppel 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5755,Schroeppel 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5756,Schroeppel 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5757,Schroeppel 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5758,Schroeppel 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5759,Schroeppel 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5760,Scriba 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5761,Scriba 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,8
5762,Scriba 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5763,Scriba 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,4
5764,Scriba 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,4
5765,Scriba 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,4
5766,Scriba 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5767,Scriba 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,2
5768,Scriba 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5769,Scriba 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5770,Scriba 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5771,Scriba 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5772,Scriba 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5773,Scriba 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5774,Scriba 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5775,Scriba 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5776,Scriba 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5777,Scriba 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,7
5778,Scriba 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,4
5779,Scriba 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,2
5780,Scriba 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,2
5781,Scriba 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,3
5782,Scriba 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5783,Scriba 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,3
5784,Scriba 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5785,Scriba 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5786,Scriba 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5787,Scriba 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5788,Scriba 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5789,Scriba 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
